Tempo_s,Referencia,Saida_y,Controle_u
0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0000
0.1000,0.0000,0.0000,0.0000
0.1500,0.0000,0.0000,0.0000
0.2000,0.0000,0.0000,0.0000
0.2500,0.0000,0.0000,0.0000
0.3000,0.0000,0.0000,0.0000
0.3500,0.0000,0.0000,0.0000
0.4000,0.0000,0.0000,0.0000
0.4500,0.0000,0.0000,0.0000
0.5000,0.0000,0.0000,0.0000
0.5500,0.0000,0.0000,0.0000
0.6000,0.0000,0.0000,0.0000
0.6500,0.0000,0.0000,0.0000
0.7000,0.0000,0.0000,0.0000
0.7500,0.0000,0.0000,0.0000
0.8000,0.0000,0.0000,0.0000
0.8500,0.0000,0.0000,0.0000
0.9000,0.0000,0.0000,0.0000
0.9500,0.0000,0.0000,0.0000
1.0000,0.0000,0.0000,0.0000
1.0500,0.0000,0.0000,0.0000
1.1000,0.0000,0.0000,0.0000
1.1500,0.0000,0.0000,0.0000
1.2000,0.0000,0.0000,0.0000
1.2500,0.0000,0.0000,0.0000
1.3000,0.0000,0.0000,0.0000
1.3500,0.0000,0.0000,0.0000
1.4000,0.0000,0.0000,0.0000
1.4500,0.0000,0.0000,0.0000
1.5000,0.0000,0.0000,0.0000
1.5500,0.0000,0.0000,0.0000
1.6000,0.0000,0.0000,0.0000
1.6500,0.0000,0.0000,0.0000
1.7000,0.0000,0.0000,0.0000
1.7500,0.0000,0.0000,0.0000
1.8000,0.0000,0.0000,0.0000
1.8500,0.0000,0.0000,0.0000
1.9000,0.0000,0.0000,0.0000
1.9500,0.0000,0.0000,0.0000
2.0000,0.0000,0.0000,0.0000
2.0500,0.0000,0.0000,0.0000
2.1000,0.0000,0.0000,0.0000
2.1500,0.0000,0.0000,0.0000
2.2000,0.0000,0.0000,0.0000
2.2500,0.0000,0.0000,0.0000
2.3000,0.0000,0.0000,0.0000
2.3500,0.0000,0.0000,0.0000
2.4000,0.0000,0.0000,0.0000
2.4500,0.0000,0.0000,0.0000
2.5000,0.0000,0.0000,0.0000
2.5500,0.0000,0.0000,0.0000
2.6000,0.0000,0.0000,0.0000
2.6500,0.0000,0.0000,0.0000
2.7000,0.0000,0.0000,0.0000
2.7500,0.0000,0.0000,0.0000
2.8000,0.0000,0.0000,0.0000
2.8500,0.0000,0.0000,0.0000
2.9000,0.0000,0.0000,0.0000
2.9500,0.0000,0.0000,0.0000
3.0000,0.0000,0.0000,0.0000
3.0500,0.0000,0.0000,0.0000
3.1000,0.0000,0.0000,0.0000
3.1500,0.0000,0.0000,0.0000
3.2000,0.0000,0.0000,0.0000
3.2500,0.0000,0.0000,0.0000
3.3000,0.0000,0.0000,0.0000
3.3500,0.0000,0.0000,0.0000
3.4000,0.0000,0.0000,0.0000
3.4500,0.0000,0.0000,0.0000
3.5000,0.0000,0.0000,0.0000
3.5500,0.0000,0.0000,0.0000
3.6000,0.0000,0.0000,0.0000
3.6500,0.0000,0.0000,0.0000
3.7000,0.0000,0.0000,0.0000
3.7500,0.0000,0.0000,0.0000
3.8000,0.0000,0.0000,0.0000
3.8500,0.0000,0.0000,0.0000
3.9000,0.0000,0.0000,0.0000
3.9500,0.0000,0.0000,0.0000
4.0000,0.0000,0.0000,0.0000
4.0500,0.0000,0.0000,0.0000
4.1000,0.0000,0.0000,0.0000
4.1500,0.0000,0.0000,0.0000
4.2000,0.0000,0.0000,0.0000
